date,open,high,low,close
2024-07-04 00:00:00,161.59,161.6055,161.46249,161.46249
2024-07-04 00:05:00,161.46201,161.54001,161.44251,161.53149
2024-07-04 00:10:00,161.53101,161.5495,161.49951,161.5325
2024-07-04 00:15:00,161.532,161.5405,161.50101,161.52951
2024-07-04 00:20:00,161.53,161.558,161.52701,161.54001
2024-07-04 00:25:00,161.53949,161.55499,161.5255,161.5545
2024-07-04 00:30:00,161.55499,161.55701,161.517,161.5365
2024-07-04 00:35:00,161.53699,161.5535,161.52649,161.543
2024-07-04 00:40:00,161.5435,161.58701,161.541,161.5625
2024-07-04 00:45:00,161.562,161.57251,161.521,161.52451
2024-07-04 00:50:00,161.5235,161.5235,161.371,161.3965
2024-07-04 00:55:00,161.397,161.476,161.397,161.44299
2024-07-04 01:00:00,161.44351,161.44501,161.26999,161.27451
2024-07-04 01:05:00,161.2755,161.308,161.13901,161.2695
2024-07-04 01:10:00,161.26901,161.3765,161.26601,161.3645
2024-07-04 01:15:00,161.3635,161.4225,161.33,161.4175
2024-07-04 01:20:00,161.41699,161.46851,161.40201,161.40201
2024-07-04 01:25:00,161.403,161.42801,161.384,161.41449
2024-07-04 01:30:00,161.414,161.4225,161.36099,161.3865
2024-07-04 01:35:00,161.388,161.418,161.3835,161.40649
2024-07-04 01:40:00,161.409,161.414,161.33701,161.3635
2024-07-04 01:45:00,161.364,161.37399,161.3215,161.3705
2024-07-04 01:50:00,161.371,161.3985,161.367,161.377
2024-07-04 01:55:00,161.3775,161.39749,161.37199,161.37199
2024-07-04 02:00:00,161.3725,161.37399,161.32651,161.35049
2024-07-04 02:05:00,161.349,161.3775,161.32001,161.3735
2024-07-04 02:10:00,161.37399,161.3775,161.36099,161.3745
2024-07-04 02:15:00,161.37549,161.4295,161.36099,161.4225
2024-07-04 02:20:00,161.423,161.43649,161.40601,161.41949
2024-07-04 02:25:00,161.41901,161.44049,161.40799,161.43401
2024-07-04 02:30:00,161.43451,161.44,161.39349,161.4055
2024-07-04 02:35:00,161.40601,161.41449,161.3815,161.40201
2024-07-04 02:40:00,161.40151,161.425,161.40151,161.40601
2024-07-04 02:45:00,161.40649,161.42349,161.40399,161.423
2024-07-04 02:50:00,161.42349,161.4295,161.41901,161.422
