date,open,high,low,close
2024-07-04 00:00:00,1.36337,1.3634,1.36316,1.36317
2024-07-04 00:05:00,1.36316,1.36338,1.36316,1.36338
2024-07-04 00:10:00,1.36338,1.36349,1.36336,1.36337
2024-07-04 00:15:00,1.36336,1.36337,1.36325,1.36327
2024-07-04 00:20:00,1.36328,1.36341,1.36326,1.3634
2024-07-04 00:25:00,1.36339,1.36348,1.36339,1.36341
2024-07-04 00:30:00,1.36342,1.36346,1.36328,1.36332
2024-07-04 00:35:00,1.36332,1.36332,1.36326,1.36329
2024-07-04 00:40:00,1.36328,1.3633,1.36318,1.3632
2024-07-04 00:45:00,1.3632,1.36322,1.3631,1.36314
2024-07-04 00:50:00,1.36315,1.36315,1.36302,1.36302
2024-07-04 00:55:00,1.36304,1.36308,1.3629,1.363
2024-07-04 01:00:00,1.363,1.363,1.36272,1.36276
2024-07-04 01:05:00,1.36278,1.36288,1.3626,1.36288
2024-07-04 01:10:00,1.36288,1.36323,1.36284,1.36322
2024-07-04 01:15:00,1.3632,1.36348,1.36308,1.36344
2024-07-04 01:20:00,1.36343,1.36366,1.36343,1.3635
2024-07-04 01:25:00,1.36351,1.36355,1.3634,1.36351
2024-07-04 01:30:00,1.3635,1.36356,1.3633,1.36344
2024-07-04 01:35:00,1.36344,1.36372,1.36344,1.36354
2024-07-04 01:40:00,1.36354,1.36355,1.36314,1.36315
2024-07-04 01:45:00,1.36314,1.36329,1.36309,1.36326
2024-07-04 01:50:00,1.36326,1.36342,1.36326,1.36328
2024-07-04 01:55:00,1.36328,1.36342,1.36328,1.36342
2024-07-04 02:00:00,1.36342,1.36346,1.36332,1.36344
2024-07-04 02:05:00,1.36344,1.36362,1.36336,1.36362
2024-07-04 02:10:00,1.3636,1.36362,1.3635,1.36354
2024-07-04 02:15:00,1.36354,1.36368,1.36346,1.36367
2024-07-04 02:20:00,1.36366,1.3637,1.36358,1.36359
2024-07-04 02:25:00,1.3636,1.3637,1.36358,1.36368
2024-07-04 02:30:00,1.36368,1.36369,1.36354,1.36357
2024-07-04 02:35:00,1.36358,1.36372,1.36358,1.36371
