date,open,high,low,close
2024-07-04 00:00:00,1.27478,1.27503,1.27475,1.27498
2024-07-04 00:05:00,1.27497,1.27505,1.2748,1.2748
2024-07-04 00:10:00,1.27479,1.27484,1.27458,1.2748
2024-07-04 00:15:00,1.27479,1.2749,1.27476,1.27478
2024-07-04 00:20:00,1.27478,1.27478,1.27462,1.27468
2024-07-04 00:25:00,1.27468,1.27468,1.27458,1.27464
2024-07-04 00:30:00,1.27465,1.27481,1.2746,1.27473
2024-07-04 00:35:00,1.27474,1.27478,1.27471,1.27476
2024-07-04 00:40:00,1.27476,1.27482,1.27475,1.2748
2024-07-04 00:45:00,1.2748,1.27488,1.27476,1.27485
2024-07-04 00:50:00,1.27484,1.2751,1.27484,1.2751
2024-07-04 00:55:00,1.27511,1.27516,1.27504,1.27509
2024-07-04 01:00:00,1.2751,1.2753,1.2751,1.27528
2024-07-04 01:05:00,1.27527,1.2754,1.27505,1.27511
2024-07-04 01:10:00,1.2751,1.27513,1.275,1.27504
2024-07-04 01:15:00,1.27503,1.27511,1.27481,1.27483
2024-07-04 01:20:00,1.27483,1.27498,1.27474,1.27494
2024-07-04 01:25:00,1.27494,1.27505,1.2749,1.27502
2024-07-04 01:30:00,1.27503,1.27516,1.27495,1.27501
2024-07-04 01:35:00,1.275,1.27503,1.27487,1.27503
2024-07-04 01:40:00,1.27503,1.27526,1.275,1.27526
2024-07-04 01:45:00,1.27524,1.27531,1.27516,1.2752
2024-07-04 01:50:00,1.2752,1.27522,1.27502,1.27522
2024-07-04 01:55:00,1.27521,1.27522,1.27508,1.27511
2024-07-04 02:00:00,1.27507,1.27515,1.27503,1.27504
2024-07-04 02:05:00,1.27504,1.27508,1.27478,1.2748
2024-07-04 02:10:00,1.2748,1.27497,1.27478,1.27493
2024-07-04 02:15:00,1.27494,1.27498,1.27479,1.2748
2024-07-04 02:20:00,1.2748,1.27494,1.27479,1.27493
2024-07-04 02:25:00,1.27494,1.27494,1.27478,1.27481
2024-07-04 02:30:00,1.2748,1.27484,1.27478,1.27482
2024-07-04 02:35:00,1.27483,1.27483,1.2747,1.2747
2024-07-04 02:40:00,1.27471,1.27471,1.27457,1.2746
2024-07-04 02:45:00,1.2746,1.2747,1.27458,1.2747
2024-07-04 02:50:00,1.27469,1.2747,1.27465,1.27468
2024-07-04 02:55:00,1.27468,1.2748,1.27463,1.27465
2024-07-04 03:00:00,1.27465,1.27466,1.27455,1.27464
2024-07-04 03:05:00,1.27463,1.2747,1.27463,1.27466
2024-07-04 03:10:00,1.27466,1.27468,1.27455,1.27455
2024-07-04 03:15:00,1.27456,1.27458,1.27455,1.27458
2024-07-04 03:20:00,1.27458,1.27458,1.2745,1.27451
2024-07-04 03:25:00,1.27452,1.27457,1.27451,1.27453
2024-07-04 03:30:00,1.27454,1.27456,1.27444,1.27445
2024-07-04 03:35:00,1.27445,1.27453,1.27439,1.27444
2024-07-04 03:40:00,1.27444,1.27444,1.27428,1.27428
2024-07-04 03:45:00,1.27429,1.27432,1.27422,1.27425
2024-07-04 03:50:00,1.27425,1.27425,1.27414,1.27418
2024-07-04 03:55:00,1.27417,1.27429,1.27416,1.27421
2024-07-04 04:00:00,1.27421,1.27435,1.2742,1.27434
2024-07-04 04:05:00,1.27434,1.27434,1.27428,1.2743
2024-07-04 04:10:00,1.27431,1.27444,1.27427,1.27442
2024-07-04 04:15:00,1.27442,1.27447,1.27434,1.27434
2024-07-04 04:20:00,1.27434,1.27436,1.2743,1.27436
2024-07-04 04:25:00,1.27436,1.2744,1.2743,1.27432
2024-07-04 04:30:00,1.27432,1.27434,1.27424,1.27428
2024-07-04 04:35:00,1.27428,1.2743,1.27425,1.27427
2024-07-04 04:40:00,1.27426,1.2743,1.27426,1.27426
2024-07-04 04:45:00,1.27426,1.2743,1.27426,1.27429
2024-07-04 04:50:00,1.2743,1.27431,1.27426,1.27428
2024-07-04 04:55:00,1.27429,1.27442,1.27428,1.27437
2024-07-04 05:00:00,1.27436,1.27437,1.27425,1.27428
2024-07-04 05:05:00,1.27427,1.27428,1.27425,1.27425
2024-07-04 05:10:00,1.27424,1.27425,1.27424,1.27424
2024-07-04 05:15:00,1.27425,1.27427,1.27424,1.27426
2024-07-04 05:20:00,1.27426,1.27426,1.27413,1.27415
2024-07-04 05:25:00,1.27414,1.2742,1.27413,1.27418
2024-07-04 05:30:00,1.27418,1.2743,1.27415,1.27429
2024-07-04 05:35:00,1.27428,1.2744,1.27424,1.27438
2024-07-04 05:40:00,1.27438,1.27444,1.27433,1.27438
2024-07-04 05:45:00,1.27438,1.27452,1.27435,1.27451
2024-07-04 05:50:00,1.2745,1.27464,1.27449,1.27464
2024-07-04 05:55:00,1.27464,1.27485,1.27463,1.2748
2024-07-04 06:00:00,1.2748,1.27484,1.2745,1.27452
2024-07-04 06:05:00,1.27453,1.27483,1.27436,1.27476
2024-07-04 06:10:00,1.27475,1.27476,1.27439,1.2745
2024-07-04 06:15:00,1.2745,1.27473,1.27444,1.27462
2024-07-04 06:20:00,1.27463,1.27468,1.27456,1.27464
2024-07-04 06:25:00,1.27464,1.27467,1.27462,1.27462
2024-07-04 06:30:00,1.27464,1.27465,1.27432,1.27462
2024-07-04 06:35:00,1.27459,1.27465,1.27441,1.27462
2024-07-04 06:40:00,1.27462,1.27495,1.27452,1.27494
2024-07-04 06:45:00,1.27494,1.27498,1.27471,1.27473
2024-07-04 06:50:00,1.27474,1.27498,1.2747,1.27493
2024-07-04 06:55:00,1.27494,1.27498,1.27476,1.27497
2024-07-04 07:00:00,1.27496,1.27524,1.27494,1.27515
2024-07-04 07:05:00,1.27514,1.2753,1.27505,1.27526
2024-07-04 07:10:00,1.27526,1.27532,1.27472,1.27473
2024-07-04 07:15:00,1.27474,1.27486,1.27454,1.27466
2024-07-04 07:20:00,1.27466,1.27467,1.27424,1.27424
2024-07-04 07:25:00,1.27425,1.27438,1.27415,1.27436
2024-07-04 07:30:00,1.27436,1.27471,1.27432,1.27471
2024-07-04 07:35:00,1.27472,1.2748,1.27455,1.2747
2024-07-04 07:40:00,1.27469,1.27506,1.27467,1.27498
2024-07-04 07:45:00,1.27498,1.27512,1.27491,1.27503
2024-07-04 07:50:00,1.27503,1.27519,1.27485,1.27489
2024-07-04 07:55:00,1.27488,1.27537,1.27488,1.27536
2024-07-04 08:00:00,1.27537,1.27569,1.27532,1.27546
2024-07-04 08:05:00,1.27546,1.27578,1.27546,1.27576
2024-07-04 08:10:00,1.27577,1.27624,1.27576,1.27619
2024-07-04 08:15:00,1.27619,1.27629,1.27601,1.27606
2024-07-04 08:20:00,1.27606,1.27606,1.27585,1.27588
2024-07-04 08:25:00,1.27588,1.276,1.27572,1.276
2024-07-04 08:30:00,1.27598,1.27598,1.27522,1.27546
2024-07-04 08:35:00,1.27546,1.27557,1.27512,1.27519
2024-07-04 08:40:00,1.27518,1.27556,1.27508,1.2753
2024-07-04 08:45:00,1.2753,1.27535,1.27512,1.27522
2024-07-04 08:50:00,1.27523,1.27552,1.27516,1.27537
2024-07-04 08:55:00,1.27537,1.27557,1.27524,1.27556
2024-07-04 09:00:00,1.27556,1.2757,1.2755,1.27559
2024-07-04 09:05:00,1.27558,1.2756,1.27514,1.27532
2024-07-04 09:10:00,1.27534,1.2756,1.27526,1.27556
2024-07-04 09:15:00,1.27556,1.27558,1.27526,1.27556
2024-07-04 09:20:00,1.27556,1.27565,1.27524,1.27526
2024-07-04 09:25:00,1.27527,1.27536,1.27514,1.27527
2024-07-04 09:30:00,1.27528,1.2753,1.27512,1.27513
2024-07-04 09:35:00,1.27512,1.27517,1.27473,1.27485
2024-07-04 09:40:00,1.27486,1.27514,1.27483,1.27507
2024-07-04 09:45:00,1.27508,1.2753,1.27501,1.27526
2024-07-04 09:50:00,1.27525,1.27536,1.27509,1.27525
2024-07-04 09:55:00,1.27524,1.27536,1.27485,1.27498
2024-07-04 10:00:00,1.27499,1.27541,1.2749,1.27539
2024-07-04 10:05:00,1.27538,1.27548,1.27524,1.27547
2024-07-04 10:10:00,1.27547,1.27558,1.27544,1.27547
2024-07-04 10:15:00,1.27547,1.27558,1.27537,1.27545
2024-07-04 10:20:00,1.27546,1.27564,1.27545,1.27548
2024-07-04 10:25:00,1.27547,1.27562,1.27543,1.2756
2024-07-04 10:30:00,1.2756,1.2758,1.2756,1.27576
2024-07-04 10:35:00,1.27576,1.2763,1.27576,1.27628
2024-07-04 10:40:00,1.27627,1.27639,1.27606,1.27609
2024-07-04 10:45:00,1.27608,1.27615,1.27591,1.27597
2024-07-04 10:50:00,1.27596,1.27608,1.27574,1.27588
2024-07-04 10:55:00,1.27589,1.27595,1.27566,1.27566
2024-07-04 11:00:00,1.27566,1.27588,1.27554,1.27585
2024-07-04 11:05:00,1.27586,1.27596,1.27565,1.27586
2024-07-04 11:10:00,1.27586,1.27586,1.27556,1.27564
2024-07-04 11:15:00,1.27563,1.27571,1.27552,1.27557
2024-07-04 11:20:00,1.27558,1.27559,1.27536,1.27537
2024-07-04 11:25:00,1.27537,1.27558,1.27537,1.27552
2024-07-04 11:30:00,1.27552,1.27572,1.2755,1.27568
2024-07-04 11:35:00,1.27568,1.27568,1.27552,1.27557
2024-07-04 11:40:00,1.27557,1.27559,1.27537,1.27546
2024-07-04 11:45:00,1.27546,1.27556,1.27534,1.2755
2024-07-04 11:50:00,1.2755,1.27567,1.27535,1.27537
